ID,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Well-Being Index
10065,1002001,Antlia B,0.624014798,56.39724062,17649.87156,0.458598647,7.857840896,5.196526961,0.50753432,0.471399807,247.1966543,33.13596654,58.07935657,0.041403938
10087,999000,KKH 11 (ZOAG G135.74-04.53),0.970048224,80.92409414,11409.94296,0.757218493,15.86979843,13.06573381,0.807108155,0.83755934,137.2990572,107.64989595,109.4191124,0.098777401
10141,993012,Leo IV Dwarf,0.995539581,82.44100577,58774.29343,1.03242883,17.54511703,11.39971059,0.973683794,0.890395561,74.70930193,107.64989595,109.4191124,0.200746815
10168,995006,NGC 185,1.004361782,75.63598554,34960.41911,0.707775555,13.57808561,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.06717037
10201,996004,Grus I,1.050627164,83.41253995,17073.45121,0.951402344,13.51815663,11.74907146,0.965451884,0.797999766,141.2104622,107.64989595,109.4191124,0.078350955
10226,1000000,"Leo I Dwarf (DDO 74, UGC 5470)",0.70161334,59.39371776,21345.68138,0.534916263,9.167112233,5.942806024,0.321637828,0.341346714,234.3862401,43.56855353,38.80288422,0.04473176
10238,991020,Bo̦tes I,0.747318834,70.22515653,23051.71374,0.795094121,14.13979148,7.887241304,0.668649607,0.574333184,134.3905606,107.64989595,109.4191124,0.052210593
10251,992016,UGC 7577 (DDO 125),0.884287342,73.15591166,34042.13768,0.909842294,17.00837952,12.07516882,0.842762091,0.771008398,56.68817738,107.64989595,109.4191124,0.088437824
10329,991020,KKh 98,0.888769862,78.56992237,21461.4692,0.698223912,14.71317314,8.888171654,0.702012094,0.610459819,105.5500098,107.64989595,109.4191124,0.06260966
10368,998001,Fornax Dwarf (E356-G04),1.001783409,83.25095964,42759.83048,0.95786406,15.09644417,12.92693176,1.051782343,0.866846385,83.22309503,107.64989595,109.4191124,0.163244903
10379,990025,NGC 147 (DDO 3),0.70264528,62.45810266,14130.08149,0.822891001,14.21505674,6.964082754,0.614590434,0.434753056,163.851004,107.64989595,109.4191124,0.051591638
10409,993012,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",1.018629769,87.45909802,41142.87952,1.065441596,15.97261071,12.06757602,0.916039197,0.835494264,70.12125013,107.64989595,109.4191124,0.158739328
10414,997002,Andromeda II,1.007842192,89.72878141,47786.27572,0.98881167,16.60303692,12.93702199,1.008510022,0.832700898,86.30627696,107.64989595,109.4191124,0.173471222
10461,994009,Andromeda XIX[60],1.036860198,91.77058134,46255.92821,1.00447577,15.85613136,11.33906957,0.932488763,0.79271171,78.96805005,107.64989595,109.4191124,0.142277824
10501,995006,KKH 37 (Mai 16),0.839106386,82.98343556,13960.08324,0.832948039,14.48184103,10.81378467,0.760793521,0.841140214,120.9741283,107.64989595,109.4191124,0.096283356
10512,1000000,UGC 8833,0.691787389,67.97670925,31122.37082,0.790253604,13.20032052,4.194090257,0.695960347,0.659106992,188.7240346,107.64989595,109.4191124,0.049460478
10514,997002,"Sextans A (92205, DDO 75)",1.025418783,81.72425941,26058.34236,0.821124373,14.70032055,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.108697807
10554,994009,Carina III,0.918368082,82.01708801,15293.65986,0.662726826,14.26535918,11.53511736,0.703157067,0.846789984,136.8302469,107.64989595,109.4191124,0.081909026
10605,1000000,NGC 247,0.929290485,72.06444185,22895.4218,0.692584539,13.85939621,10.129150945,0.813372348,0.748034114,132.20436485,111.5819981,73.41856437,0.056058024
10625,994009,M110 (NGC 205),0.98138559,81.24828684,26645.06471,0.797880252,18.56920293,10.129150945,0.813372348,0.748034114,132.20436485,107.64989595,109.4191124,0.066742771
10675,996004,Bo̦tes I,0.742916785,63.82455391,29683.89418,0.856425123,14.6436354,11.74364849,0.748253778,0.740897645,159.2817572,107.64989595,109.4191124,0.049583005
