Population using at least basic drinking-water services (%),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),"Estimated gross galactic income per capita, male",Gross fixed capital formation (% of GGP),"Gross enrolment ratio, primary (% of primary under-age population)",Current health expenditure (% of GGP),Gender Development Index (GDI),Adjusted net savings,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,Population using at least basic sanitation services (%),"Population, urban (%)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)",Employment in services (% of total employment),Gross galactic product (GGP) per capita,Share of seats in senate (% held by female),"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Population with at least some secondary education (% ages 25 and older),Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)","Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Well-Being Index
111.5819981,52.21684401,23.3086549,151.6315127,13442.27168,24.08854796,130.0989031,4.860056469,1.022518312,13.84105624,0.929290485,72.06444185,22895.4218,0.692584539,13.85939621,11.2438813054,0.8421054334000001,0.8024640974,73.41856437,44.44955031,10.67459676,73.98450057,76.95312145,45.36142025,41546.69276,5.507079527,9.875232811,10.11584661,12.60222239,12.50500902,18697.98268,58.11044174,101.5195787,71.50273984,76.94123099500001,71.73080282,51.23444396,33.08563952,0.806884521,0.8296172735,0.056058024
76.99359544,57.65830033,5.763886429,170.5981613,23075.59171,31.32570165,108.1842137,4.888462986,1.002669512,-20.40176191,0.66886903,64.94711034,29717.63898,0.657747849,12.02117522,9.096616998,0.59974132,0.725223388,45.5657745,86.90806815,14.18055098,52.32144589,62.82154682,48.97574557,17879.4347,25.34063374,5.982777663,9.275633145,12.80893876,13.20597329,9644.916678,124.2133403,83.43489817,61.02559417,70.45128594,71.04883674,66.32404613,23.84479627,0.544452829,0.735427857,0.048409555
106.741248,41.33858495,19.9465613,83.6692518,25652.13107,23.6112497,135.8171699,5.963400172,0.850969617,31.55661336,0.836663404,74.95474765,9701.164804,0.556428764,12.62183602,5.456283189,0.575829836,0.482429866,43.09616639,31.70529327,16.49304418,67.64115303,68.59840749,28.50485851,19701.73342,21.67559866,4.59421922,5.74961241,8.127955483,12.35820097,14118.60933,76.28073417,84.81125975,29.65226864,69.33100628,49.5866075,47.54060485,37.043078,0.616177128,0.711259802,0.050051135
69.66972949,47.53633891,16.86863771,205.3075951,42002.85133,31.3792485,108.1273034,6.961083785,0.986925315,19.55120201,0.493076394,58.74554189,15454.31159,0.813353951,13.30196776,6.44142112,0.669168873,0.61381226,81.05484822,48.68081957,8.610838205,48.61136303,62.06196132,76.87953945,20835.4622,20.52696318,6.917607906,9.240891438,14.10942979,12.72386736,15946.29941,124.2133403,58.43318981,50.04924638,52.38317333,67.88093024,44.71311724,33.3946769,0.714407078,0.59779111,0.045142921
118.1474734,57.47345866,22.06429757,174.1880177,66279.41151,32.13432307,119.4669542,9.014123076,1.047839916,25.33165564,0.981499577,84.31473777,63783.89377,1.211279172,19.9512564,13.36714684,1.026683708,0.99451197,132.8891204,90.39470065,32.19094782,85.72907414,88.26059562,97.72518478,57511.22373,42.42643203,15.09863894,15.14159894,20.29683075,21.96676449,51159.57717,161.3460849,98.41527385,104.5835501,122.5952482,116.3817058,79.97730624,69.97510034,1.032225524,1.042852087,0.189308664
113.7605099,55.28831157,13.25636765,206.1044001,35915.01968,30.92239766,122.6914753,7.411684505,1.11126515,22.05259201,0.921500806,79.32428723,27228.13394,0.794532283,14.91024661,10.11436301,0.79508276,0.848670541,121.9006223,75.12952137,27.79836394,69.01546486,85.64743731,71.30764149,29975.21697,21.398179515,12.52852607,10.68115472,17.03773015,16.55296267,16287.78341,123.8288244,73.35545633,71.50273984,76.94123099500001,71.73080282,46.05859229,25.26335043,0.955252558,0.81357706,0.099156533
96.1464057,56.04159435,16.77176883,154.6597187,26391.77946,28.18609667,133.0832334,13.35749025,1.041706019,33.14500017,0.680888965,62.44939045,28369.70692,0.841049504,15.52486847,7.622552452,0.760405572,0.674448831,58.64203295,62.18861821,11.16134461,60.22442723,68.91379699,71.57021005,19968.59165,37.85004624,10.24370206,8.242973835,15.89777404,12.56715937,23115.68098,45.95954115,85.02078654,85.28860599,58.14068881,52.02547995,60.46530171,31.73443247,0.711998616,0.684868273,0.047613153
115.5223656,55.24515396,21.41296867,119.8180449,43249.10219,28.88789114,120.4186799,10.44553392,1.069699199,28.22387966,1.010464595,88.71909664,36866.68009,0.948984725,19.62249819,14.92715183,0.980236712,1.08032214,129.4540127,112.6056463,22.68400918,87.01838036,90.25908482,97.30419565,47766.06072,20.19084816,15.48466069,15.36714196,17.57903247,17.69456387,21257.81967,121.0299303,134.5082844,102.0725487,117.1760858,99.51790478,88.04803898,47.68292487,1.025799391,0.919945759,0.145304509
130.3625288,49.01629858,16.26691413,178.1221247,32583.28284,30.07849171,123.0767716,5.919994106,1.034628689,39.04827603,0.904112319,82.43680649,20221.22684,0.932068417,16.45425042,8.353105824,0.837412577,0.750530351,121.9026225,72.48460002,16.78494126,77.08946535,82.1135274,64.40049685,28626.87323,15.01499806,9.103970474,9.189270816,17.59447024,15.3955897,20617.86972,140.3603891,132.4538031,46.58284591,63.8778304,57.32423788,41.7729446,43.1471356,0.828762136,0.837596782,0.074329867
119.8327755,54.39481502,21.72024962,111.306389,33498.82018,26.16377333,116.9013925,8.783375893,1.066691565,9.466691448,0.875798605,88.24081634,30909.15027,0.739876548,16.24664824,13.45761164,0.984471827,0.953719037,94.16853329,107.5472091,30.66970666,75.00006449,85.53633667,88.81580923,20009.91141,25.76213569,13.02841568,11.6992953,17.4596124,16.55858234,17394.88939,125.7124105,63.69109145,93.75847289,107.9063965,126.5506944,50.07536106,43.81936511,0.893233499,0.899814519,0.086487978
